Year,Poverty total,Total Snap
2018,319184033,38585390
2019,320118791,38285411
2019,320118791,37806257
2019,320118791,37654696
2019,320118791,37322782
2019,320118791,37316031
2019,320118791,37467978
2019,320118791,37573975
2019,320118791,37711962
2019,320118791,37572321
2019,320118791,37587694
2019,320118791,37374210
2019,320118791,37180461
